titles,category
“이러면 제주도 안 간다” ‘10만원’ 짜리 갈치구이 난리더니…역대급 대박났다?,IT
"法, 뉴진스 가처분 이의 신청도 기각...""독자활동 금지""",IT
"뉴진스, 데뷔 1000일 자축했지만…법원 판단은 그대로",IT
보이스피싱 원본 음성 데이터 왜 못 쓰나 했더니…'범죄자 개인정보'가 걸림돌,IT
"스타링크 韓 진출 임박…정부, 전파 혼간섭 방지 '총력'",IT
"5427만번 죽어도 ""도전 또 도전""…'퍼스트 버서커: 카잔' 글로벌 순항 비결은?",IT
한·미 민간 '우주 동맹'…30개 기업 뭉쳤다,IT
"로봇이 1536개 DNA 동시 조립·분석…""연구 속도 10배 높여""",IT
"7m까지 자라는 대왕 오징어, 심해서 최초 포착",IT
"한국인 美 대학 조교수, 비자 취소로 돌연 귀국길…유학생 불안감 커져",IT
6400억원 합의 시도 퇴짜맞은 저커버그,IT
"""올해 1분기 스마트폰 출하량 증가...삼성이 1위""",IT
"대형병원 쏠림 막는 '2차병원' 키운다…""중등도 중심 기능""(종합)",IT
M4 맥북에어 한국 출시…기본가 159만원 동결,IT
"미디어 새 판 짜는 KT, AI로 만든 숏폼 띄운다",IT
"""갤럭시 전세계서 빛났다""...삼성폰, 아이폰 따돌리고 글로벌 1위",IT
"최민희, 부총리급 '과기정통인공지능부' 격상 개정안 발의",IT
"어도비 인수 제안 거절하더니…피그마, IPO 절차 밟는다",IT
21세기 가장 많이 인용된 논문도 AI…챗GPT 근간 MS 신경망 연구,IT
"""하도급 판단 동의 못한다""…우본 DaaS 사업 뺏긴 네이버클라우드 '울분'",IT
"[K바이오 뉴프런티어 (6)] 뉴로벤티 ""자폐 신약 세계 최초 개발 도전…사회성 질환 치료제 시장 주도할 것""",IT
"이주호 부총리, 미복귀 유급 의대생에 ""학칙 따라 엄정 대응""",IT
오픈AI도 SNS 개발 중…머스크의 X·인스타그램에 도전장,IT
수소사업 한발짝 물러난 포스코…'패스트 팔로워' 전략 변경,IT
"'서울~부산 20분' 꿈의 열차, 하이퍼튜브 시동…현실화는 먼길",IT
과기정통부 부총리급 격상 법안 나왔다,IT
"美 관세전쟁에 흔들리는 스마트폰 시장…""올해 마이너스 성장 가능성""",IT
구독료를 비용으로 본 한국 넷플릭스… 1조 매출에도 법인세 50억원,IT
"[뉴스줌인]공공 SW사업, 적정대가 현실화 시급",IT
"“갤럭시S25 나왔는데”… 삼성전자, 1분기 스마트폰 판매량 애플에 밀린 이유는",IT
1분기 글로벌 스마트폰 출하량 3억500만대…1위 삼성·2위 애플,IT
"[DD퇴근길] KT, 미디어사업 전략 수정…""공격적으로 AI 접목""",IT
"김재섭 의원 ""복지부, 기금운용 수익률 통계 조작해”",IT
배달앱에 뜯겨 못살겠다더니…프랜차이즈 본사는 ‘실적 잔치’,IT
"""로봇 입으니 걸음이 한결 편하네""…위로보틱스, '윔S' 선봬",IT
"인간 치아 만들기 성공…“임플란트보다 튼튼, 거부반응 없다”",IT
최민희 ‘과학기술정보통신인공지능부’법 발의…방송은 방통위로,IT
"韓 개발 유방암 예후 검사 '온코프리', 온코타입DX와 유사한 성능 입증",IT
다시 불 붙은 美·中 관세 전쟁…삼성SDS가 제시한 생존 전략은,IT
산책부터 등산까지 거뜬... 주행보조로봇 ‘윔S’ 신작 출시,IT
"'슈퍼 을' ASML 1Q 순익 3.8조…""美 관세 불확실성 지속될 것""",IT
"흑백요리사·오겜2로 韓서 1조 번 넷플릭스, 세금은 50억원 '찔끔'",IT
"약사법 또 위반한 셀트리온제약, 지난해 이어 또 품목 제조 정지",IT
새끼 품은 ‘백악기 어룡’ 화석이 알려줄 수 있는 것들 [와우! 과학],IT
"CMG제약, 구강필름 조현병 치료제 '메조피' FDA 품목허가",IT
"SKT, '갤럭시 A56 5G' 기반 전용 스마트폰 '갤럭시 퀀텀6' 선보인다",IT
"""전세계 스마트폰 시장 관세 탓 역성장 가능성…1분기 삼성 1위""",IT
[AI는 지금] 앤트로픽도 'AI 음성 비서' 경쟁 가세…오픈AI·아마존·애플·삼성 넘을까,IT
"업스테이지 ""올해는 사람이 보고서를 쓰는 마지막 해가 될 듯""",IT
전고체 배터리 핵심소재 한계 넘었다…습식공정으로 이온 전도도 향상,IT
"제품 생산량 늘리는 애플… 韓 부품업계, 관세 예외 여부 ‘촉각’",IT
"보로노이, 이달 내 공개될 ‘VRN11’ 임상 결과 주목받는 이유는?",IT
"전기차 배터리, 4680보다 4695 인기...왜?",IT
"GM, 美 현지 LFP 각형 수급 검토…삼성SDI·LG엔솔 경합 [소부장박대리]",IT
노화인 줄 알았는데 '충격'…도파민이 보내는 '경고'였다,IT
"권경혁 대표 ""국내 제약·중견기업, 美 바이오기업 지분 투자 적극 지원할 것""",IT
"윤상순 대표 ""해외서 인정 받은 삼중항체 기술로…TCE의 안전성·효능 두 토끼 잡겠다""",IT
"이지영 교수 ""젬백스 신약 후보물질, PSP 질환치료 임상서 의미있는 결과 확인""",IT
"""효도선물로 인기였는데""…임플란트 시장 주춤한 이유 알고 보니",IT
[유리기판 테크데이] 이노메트리 “엑스레이 검사로 TGV 불량 '제로' 도전”,IT
"'생명의 언어' 해석하는 AI, 세상에 없는 '다목적 맞춤형 단백질' 설계하다",IT
"美 최대 바이오 VC ""유행 따라 투자 안 해…상장 후 끝까지 지원""",IT
봄철 면역력 높여라…휴온스 고함량 비타민 브랜드 '메리트C' 주목,IT
"KT ""공식적으로 티빙-웨이브 합병 의견 표명할 것""",IT
"""무료 기술만 쓰면 끝?""…공공 오픈소스 생태계, 조달·관리는 '빈틈'",IT
"""건강검진 받았다면 '이상지질혈증' 의심 결과 확인 해보세요""",IT
故김하늘 양 향해 악성 댓글 40대 사자명예훼손 혐의 송치,IT
최민희 과방위원장 부총리급 '과학기술정보통신인공지능부' 설립법안 발의…ICT거버넌스 개편논의 신호탄,IT
"[인터뷰] 삼성SDS ""양자컴 상용화 시점 중요치 않다…보안위협 PQC로 극복""",IT
"업스테이지, '풀스택AI'로 미국·일본·동남아 AI 시장 정조준",IT
"네이버, '맵스' 앞세워 본격 수익화…카카오는 'AI 메이트 로컬' 준비",IT
"구글, 제미나이에 동영상 생성 AI ‘비오2’ 탑재…“8초 영상 뚝딱”",IT
저궤도 위성통신 R&D 사업 첫발...위성통신 강국 '마중물' 기대,IT
"웨어러블 로봇 1년 새 500대 판 위로보틱스 ""1인 1로봇 시대 열겠다""",IT
"‘돼지 간’ 사람에게 이식, 美 FDA 임상시험 승인",IT
"KT ""'미디어·콘텐츠, 매출 목표보단 방향 전환이 중요"" [일문일답]",IT
20년산 IP의 힘… 활기 되찾은 모바일 MMORPG,IT
"KT, 미디어 AX 본격화…'전략통' 김채희 전무 시험대 위에(종합)",IT
'뮤직 끼워팔기' 논란에 한발 뺀 유튜브…토종앱에 호재?,IT
"[현장] ""美·中은 무단 크롤링, 우리는 정공법""…업스테이지, 글로벌 AI 정조준",IT
난 동의 안 했는데...페북·인스타·X에 올린 게시글까지 AI '학습 중',IT
모바일 게임 시장 韓中 고지전,IT
"KT, 미디어 전략 확 바꾼다…광고기반 무료스트리밍도 'OK'",IT
"""다시 한번 약값 인하"" 외친 트럼프...K바이오시밀러 기대감 '업'",IT
'가격인하·구형활보·쌓인재고' 中 로봇청소기 에코백스…브랜드 가치 하락에 '쩔쩔',IT
